Index,Art,Schnabellaenge,Schnabelhoehe
0,Adeliepinguin,39.1,18.7
1,Adeliepinguin,39.5,17.4
2,Adeliepinguin,40.3,18.0
3,Adeliepinguin,NULL,NULL
4,Adeliepinguin,36.7,19.3
5,Adeliepinguin,39.3,20.6
6,Adeliepinguin,38.9,17.8
7,Adeliepinguin,39.2,19.6
8,Adeliepinguin,34.1,18.1
9,Adeliepinguin,42.0,20.2
10,Adeliepinguin,37.8,17.1
11,Adeliepinguin,37.8,17.3
12,Adeliepinguin,41.1,17.6
13,Adeliepinguin,38.6,21.2
14,Adeliepinguin,34.6,21.1
15,Adeliepinguin,36.6,17.8
16,Adeliepinguin,38.7,19.0
17,Adeliepinguin,42.5,20.7
18,Adeliepinguin,34.4,18.4
19,Adeliepinguin,46.0,21.5
20,Adeliepinguin,37.8,18.3
21,Adeliepinguin,37.7,18.7
22,Adeliepinguin,35.9,19.2
23,Adeliepinguin,38.2,18.1
24,Adeliepinguin,38.8,17.2
25,Adeliepinguin,35.3,18.9
26,Adeliepinguin,40.6,18.6
27,Adeliepinguin,40.5,17.9
28,Adeliepinguin,37.9,18.6
29,Adeliepinguin,40.5,18.9
30,Adeliepinguin,39.5,16.7
31,Adeliepinguin,37.2,18.1
32,Adeliepinguin,39.5,17.8
33,Adeliepinguin,40.9,18.9
34,Adeliepinguin,36.4,17.0
35,Adeliepinguin,39.2,21.1
36,Adeliepinguin,38.8,20.0
37,Adeliepinguin,42.2,18.5
38,Adeliepinguin,37.6,19.3
39,Adeliepinguin,39.8,19.1
40,Adeliepinguin,36.5,18.0
41,Adeliepinguin,40.8,18.4
42,Adeliepinguin,36.0,18.5
43,Adeliepinguin,44.1,19.7
44,Adeliepinguin,37.0,16.9
45,Adeliepinguin,39.6,18.8
46,Adeliepinguin,41.1,19.0
47,Adeliepinguin,37.5,18.9
48,Adeliepinguin,36.0,17.9
49,Adeliepinguin,42.3,21.2
50,Adeliepinguin,39.6,17.7
51,Adeliepinguin,40.1,18.9
52,Adeliepinguin,35.0,17.9
53,Adeliepinguin,42.0,19.5
54,Adeliepinguin,34.5,18.1
55,Adeliepinguin,41.4,18.6
56,Adeliepinguin,39.0,17.5
57,Adeliepinguin,40.6,18.8
58,Adeliepinguin,36.5,16.6
59,Adeliepinguin,37.6,19.1
60,Adeliepinguin,35.7,16.9
61,Adeliepinguin,41.3,21.1
62,Adeliepinguin,37.6,17.0
63,Adeliepinguin,41.1,18.2
64,Adeliepinguin,36.4,17.1
65,Adeliepinguin,41.6,18.0
66,Adeliepinguin,35.5,16.2
67,Adeliepinguin,41.1,19.1
68,Adeliepinguin,35.9,16.6
69,Adeliepinguin,41.8,19.4
70,Adeliepinguin,33.5,19.0
71,Adeliepinguin,39.7,18.4
72,Adeliepinguin,39.6,17.2
73,Adeliepinguin,45.8,18.9
74,Adeliepinguin,35.5,17.5
75,Adeliepinguin,42.8,18.5
76,Adeliepinguin,40.9,16.8
77,Adeliepinguin,37.2,19.4
78,Adeliepinguin,36.2,16.1
79,Adeliepinguin,42.1,19.1
80,Adeliepinguin,34.6,17.2
81,Adeliepinguin,42.9,17.6
82,Adeliepinguin,36.7,18.8
83,Adeliepinguin,35.1,19.4
84,Adeliepinguin,37.3,17.8
85,Adeliepinguin,41.3,20.3
86,Adeliepinguin,36.3,19.5
87,Adeliepinguin,36.9,18.6
88,Adeliepinguin,38.3,19.2
89,Adeliepinguin,38.9,18.8
90,Adeliepinguin,35.7,18.0
